Family,Genus,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (hostility_level = Low),structural_zero (hostility_level = Medium),structural_zero (hostility_level = High)
Lachnospiraceae,Lachnospira,-1.22,-1.44,1.21,0.959,-1.01,-1.5,0.311,0.133,0.751,0.955,FALSE,FALSE,FALSE
Lachnospiraceae,Roseburia,1.11,0.276,0.816,0.961,1.36,0.287,0.174,0.774,0.509,0.955,FALSE,FALSE,FALSE
Ruminococcaceae,Anaerotruncus,0.099,0.436,0.604,0.458,0.164,0.952,0.87,0.341,0.977,0.955,FALSE,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,0.527,-0.837,1.08,1.24,0.488,-0.677,0.626,0.499,0.95,0.955,FALSE,FALSE,FALSE
Ruminococcaceae,Gemmiger,0.454,-0.0941,1.04,0.881,0.435,-0.107,0.664,0.915,0.972,0.995,FALSE,FALSE,FALSE
Ruminococcaceae,Oscillospira,-0.0131,0.0122,0.309,0.343,-0.0424,0.0355,0.966,0.972,0.977,0.995,FALSE,FALSE,FALSE
Ruminococcaceae,Ruminococcus,0.43,0.333,0.805,0.917,0.534,0.363,0.593,0.717,0.935,0.955,FALSE,FALSE,FALSE
Veillonellaceae,Acidaminococcus,0.83,0.228,1.16,0.824,0.718,0.277,0.473,0.782,0.858,0.955,FALSE,FALSE,FALSE
Veillonellaceae,Dialister,-2.73,-1.2,0,1.19,-3.16,-1,0,0.315,0,0.955,FALSE,TRUE,FALSE
Veillonellaceae,Megasphaera,1.08,0.732,1.31,1.08,0.824,0.675,0.41,0.5,0.858,0.955,FALSE,FALSE,FALSE
Veillonellaceae,Phascolarctobacterium,0.855,0.245,1.2,1.21,0.713,0.203,0.476,0.839,0.858,0.955,FALSE,FALSE,FALSE
Veillonellaceae,Veillonella,0.23,-0.499,0.825,0.491,0.279,-1.02,0.78,0.309,0.977,0.955,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],-1.09,-0.372,0.721,0.841,-1.52,-0.443,0.129,0.658,0.408,0.955,FALSE,FALSE,FALSE
Erysipelotrichaceae,Catenibacterium,1.15,0.68,0,0,1.15,1.29,0,0,0,0,TRUE,FALSE,FALSE
Erysipelotrichaceae,Coprobacillus,-1.22,-0.21,0,0.686,-2.28,-0.306,0,0.759,0,0.955,FALSE,TRUE,FALSE
Erysipelotrichaceae,Holdemania,-1.3,0.135,0.508,0.559,-2.55,0.241,0.0108,0.81,0.11,0.955,FALSE,FALSE,FALSE
Alcaligenaceae,Sutterella,0.209,0.456,0.647,0.886,0.322,0.515,0.747,0.606,0.977,0.955,FALSE,FALSE,FALSE
Desulfovibrionaceae,Bilophila,-0.0376,-0.0251,1.03,0.968,-0.0364,-0.0259,0.971,0.979,0.977,0.995,FALSE,FALSE,FALSE
Desulfovibrionaceae,Desulfovibrio,-0.137,-0.00354,0.692,0.583,-0.198,-0.00607,0.843,0.995,0.977,0.995,FALSE,FALSE,FALSE
Pasteurellaceae,Haemophilus,-0.17,-0.555,0.634,0.465,-0.268,-1.19,0.789,0.233,0.977,0.955,FALSE,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,-2,-1.27,1.29,1.35,-1.55,-0.945,0.121,0.345,0.408,0.955,FALSE,FALSE,FALSE
NA,Unknown,0.0768,-0.738,0.272,0.343,0.283,-2.15,0.777,0.0313,0.977,0.955,FALSE,FALSE,FALSE
