Family,Genus,Species,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (das_level = Low),structural_zero (das_level = Medium),structural_zero (das_level = High)
Lachnospiraceae,Clostridium,hathewayi,0.0154,-0.318,0.839,0.749,0.0184,-0.424,0.985,0.671,0.99,0.892,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,lavalense,-0.0529,0.376,0.745,0.73,-0.0711,0.515,0.943,0.606,0.99,0.892,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,symbiosum,-0.222,0.412,0.77,0.869,-0.289,0.474,0.773,0.636,0.99,0.892,FALSE,FALSE,FALSE
Lachnospiraceae,Coprococcus,catus,0.121,0.0308,0.59,0.48,0.205,0.0642,0.837,0.949,0.99,0.949,FALSE,FALSE,FALSE
Lachnospiraceae,Dorea,formicigenerans,-0.0715,-0.544,0.718,0.639,-0.0995,-0.85,0.921,0.395,0.99,0.892,FALSE,FALSE,FALSE
Lachnospiraceae,Roseburia,faecis,-1.68,-0.722,1.05,1.06,-1.61,-0.679,0.108,0.497,0.99,0.892,FALSE,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,prausnitzii,-0.638,-0.474,1.22,1.3,-0.523,-0.366,0.601,0.715,0.99,0.892,FALSE,FALSE,FALSE
Ruminococcaceae,Gemmiger,formicilis,-1.18,-0.437,0.887,1.11,-1.33,-0.393,0.183,0.694,0.99,0.892,FALSE,FALSE,FALSE
Ruminococcaceae,Ruminococcus,bromii,-0.248,-1.38,0.994,1.06,-0.249,-1.3,0.803,0.193,0.99,0.758,FALSE,FALSE,FALSE
Veillonellaceae,Veillonella,dispar,0.00814,0.648,0.663,0.593,0.0123,1.09,0.99,0.274,0.99,0.869,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],biforme,0.611,-0.0635,0.699,0,0.873,-0.154,0.382,0,0.99,0,FALSE,FALSE,TRUE
Erysipelotrichaceae,[Eubacterium],dolichum,0.405,1.06,0.584,0.72,0.694,1.47,0.488,0.141,0.99,0.722,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,ramosum,-0.0636,0.246,0.74,0.707,-0.0859,0.348,0.932,0.728,0.99,0.892,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,spiroforme,-0.208,-0.113,0.433,0,-0.481,-0.284,0.631,0,0.99,0,FALSE,FALSE,TRUE
Pasteurellaceae,Haemophilus,parainfluenzae,0.0812,0.904,0.493,0.534,0.165,1.69,0.869,0.0901,0.99,0.722,FALSE,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,muciniphila,0.818,-1.45,1.35,1.3,0.606,-1.11,0.545,0.265,0.99,0.869,FALSE,FALSE,FALSE
Unknown,Unknown,Unknown,0.0153,0.493,0.243,0.31,0.063,1.59,0.95,0.112,0.99,0.722,FALSE,FALSE,FALSE
