Family,Genus,Species,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (depression_level = Low),structural_zero (depression_level = Medium),structural_zero (depression_level = High)
Lachnospiraceae,Clostridium,symbiosum,0.523,-0.204,0.863,0.707,0.606,-0.288,0.545,0.773,0.968,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Coprococcus,catus,-0.0221,0.137,0.514,0.581,-0.0429,0.236,0.966,0.813,0.968,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Dorea,formicigenerans,0.451,-0.163,0.704,0.66,0.64,-0.247,0.522,0.805,0.968,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Roseburia,faecis,-0.0791,0.075,1.12,1.16,-0.0707,0.0649,0.944,0.948,0.968,0.993,FALSE,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,prausnitzii,-1.79,-1.44,1.22,1.22,-1.47,-1.18,0.141,0.236,0.827,0.993,FALSE,FALSE,FALSE
Ruminococcaceae,Gemmiger,formicilis,-0.334,-0.415,0.983,1.03,-0.34,-0.402,0.734,0.688,0.968,0.993,FALSE,FALSE,FALSE
Ruminococcaceae,Ruminococcus,bromii,0.378,1.23,1.02,1.04,0.371,1.19,0.711,0.236,0.968,0.993,FALSE,FALSE,FALSE
Veillonellaceae,Veillonella,dispar,0.124,-0.157,0.647,0.583,0.192,-0.269,0.848,0.788,0.968,0.993,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],biforme,0.629,1.02,0,0,1.54,1.42,0,0,0,0,TRUE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],dolichum,0.551,0.189,0.733,0.592,0.751,0.32,0.452,0.749,0.968,0.993,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,ramosum,-0.0767,-0.829,0.758,0.589,-0.101,-1.41,0.919,0.159,0.968,0.993,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,spiroforme,-0.343,-0.0531,0,0.442,-0.954,-0.12,0,0.904,0,0.993,FALSE,TRUE,FALSE
Pasteurellaceae,Haemophilus,parainfluenzae,-0.226,-0.531,0.543,0.477,-0.416,-1.11,0.677,0.266,0.968,0.993,FALSE,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,muciniphila,-1.2,-0.63,1.31,1.48,-0.918,-0.425,0.359,0.67,0.941,0.993,FALSE,FALSE,FALSE
Unknown,Unknown,Unknown,0.199,-0.0777,0.281,0.287,0.708,-0.27,0.479,0.787,0.968,0.993,FALSE,FALSE,FALSE
